ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Hungarian-615-unten-1,525,Hungarian,615-unten,alá,alá,ɒ l aː,,uesz,,,^ a l á $,default,abwärts; unten; darunter; hinunter; für; unterhalb,unten-1,160-ala
Hungarian-615-unten-2,526,Hungarian,615-unten,alattomban,alattomban,ɒ l ɒ tː o m b ɒ n,,uesz,,,^ a l a tt o m b a n $,default,unten; heimtückisch; heimlich; unmerklich; leise; niedrig,unten-2,175-alattomban
Hungarian-422-geld-1,552,Hungarian,422-geld,arany,arany,ɒ r ɒ ɲ,,uesz,,,^ a r a ny $,default,Gold; Geld; Schatz; Goldmünze; Goldmaß,Geld-1,318-arany
Hungarian-203-mutter-1,558,Hungarian,203-mutter,anya,anya,ɒ ɲ ɒ,,uesz,,,^ a ny a $,default,Mutter; Vorgesetzte; Leiterin; Ursprung; Stamm-mutter; Muttertier; Mütterchen,Mutter-1,282-anya
Hungarian-4-mund-1,562,Hungarian,4-mund,ajak,ajak,ɒ j ɒ k,,uesz,,,^ a j a k $,default,Mund; Mund; Lippe; Lippe; Schamlippe; Schamlippe; Öffnung 〈eines Gefäßes〉; Öffnung 〈eines Gefäßes〉; Kinn; Kinn; Lippenblütler; Lippenblütler,Mund-1,120-ajak
Hungarian-4-mund-2,563,Hungarian,4-mund,ajak,ajak,ɒ j ɒ k,,uesz,,,^ a j a k $,default,Mund; Mund; Lippe; Lippe; Schamlippe; Schamlippe; Öffnung 〈eines Gefäßes〉; Öffnung 〈eines Gefäßes〉; Kinn; Kinn; Lippenblütler; Lippenblütler,Mund-2,120-ajak
Hungarian-486-schmal-1,572,Hungarian,486-schmal,apró,apró,ɒ p r oː,,uesz,,,^ a p r ó $,default,-klein; winzig; gering; schmal; Kind; Kind; Pocken; Häufel; Kleingeld; Kleinigkeit; Kleinigkeit; Schlachtabfälle,schmal-1,307-apro
Hungarian-563-alt-1,601,Hungarian,563-alt,agg,agg,ɒ ɡː,,uesz,,,^ a gg $,default,alt; bejahrt; hochbetagt 〈Person〉; schlau; erfahren; hochgewachsen,alt-1,65-agg
Hungarian-563-alt-2,602,Hungarian,563-alt,aggastyán,aggastyán,ɒ ɡː ɒ ʃ c aː n,,uesz,,,^ a gg a s ty á n $,default,alt; bejahrt; vor Alter gebrochen; blaß; kränkelnd; betagter Mann; alter Junggeselle; bejahrtes Weib,alt-2,66-aggastyan
Hungarian-563-alt-3,603,Hungarian,563-alt,avas¹ ×,avas,ɒ v ɒ ʃ,,uesz,,,^ a v a s $,default,alt; Wald mit verwilderter Vegetation; Urwald; Bannwald; verwildertes Röhricht; verfaulende Vegetation; kahl werdender Wald; mächtig; unwirklich 〈Wald〉; verwildert 〈Wald〉,alt-3,428-avas
Hungarian-563-alt-4,604,Hungarian,563-alt,avas²,avas,ɒ v ɒ ʃ,,uesz,,,^ a v a s $,default,alt; ranzig; veraltet; überaltert,alt-4,429-avas
Hungarian-566-altlebewesen-1,605,Hungarian,566-altlebewesen,alt,alt,ɒ l t,,uesz,,,^ a l t $,default,Altstimme; Alt-,Alt-1,234-alt
Hungarian-820-offnen-1,611,Hungarian,820-offnen,ajtó,ajtó,ɒ j t oː,,uesz,,,^ a j t ó $,default,Tür; Tür; ajtóőriző; öffnen,offnen-1,126-ajto
Hungarian-512-offen-1,612,Hungarian,512-offen,áperte ×,áperte,aː p ɛ r t ɛ,,uesz,,,^ á p e r t e $,default,offenbar; offen; ohne Umschweife; klipp und klar,offen-1,298-aperte
Hungarian-676-oder-1,613,Hungarian,676-oder,avagy,avagy,ɒ v ɒ ɟ,,uesz,,,^ a v a gy $,default,wenigstens; oder; ob; ungefähr,oder-1,425-avagy
Hungarian-334-bild-1,636,Hungarian,334-bild,ábráz  †,ábráz,aː b r aː z,,uesz,,,^ á b r á z $,default,Bild; Gestalt,Bild-1,447-abraz
Hungarian-179-grube-1,642,Hungarian,179-grube,árok,árok,aː r o k,,uesz,,,^ á r o k $,default,Tal; Grube; Graben; Wallgraben; Graben ziehen,Grube-1,351-arok
Hungarian-179-grube-2,643,Hungarian,179-grube,ás,ás,aː ʃ,,uesz,,,^ á s $,default,Grube; graben; Gräber; Spaten; Ausgegrabenes,Grube-2,368-as
Hungarian-568-arm-1,647,Hungarian,568-arm,ágrólszakadt,ágrólszakadt,aː ɡ r oː l s ɒ k ɒ d t,,uesz,,,^ á g r ó l sz a k a d t $,default,ärmlich aussehend; ärmlich aussehend; lumpig; arm; arm; unbeholfen; unbeholfen; ungeschickt; ungeschickt; schuftig; schuftig; rüpelhaft; rüpelhaft; hergelaufen; hergelaufen; von unbekannter Herkunft; unbekannter Abstammung,arm-1,105-agrolszakadt
Hungarian-568-arm-2,648,Hungarian,568-arm,ágrólszakadt,ágrólszakadt,aː ɡ r oː l s ɒ k ɒ d t,,uesz,,,^ á g r ó l sz a k a d t $,default,ärmlich aussehend; ärmlich aussehend; lumpig; arm; arm; unbeholfen; unbeholfen; ungeschickt; ungeschickt; schuftig; schuftig; rüpelhaft; rüpelhaft; hergelaufen; hergelaufen; von unbekannter Herkunft; unbekannter Abstammung,arm-2,105-agrolszakadt
Hungarian-303-stange-1,649,Hungarian,303-stange,árbóc,árbóc,aː r b oː t͡s,,uesz,,,^ á r b ó c $,default,Mast; Nadelbaum; stange,stange-1,323-arboc
Hungarian-537-kraftig-1,654,Hungarian,537-kraftig,avas¹ ×,avas,ɒ v ɒ ʃ,,uesz,,,^ a v a s $,default,alt; Wald mit verwilderter Vegetation; Urwald; Bannwald; verwildertes Röhricht; verfaulende Vegetation; kahl werdender Wald; mächtig; unwirklich 〈Wald〉; verwildert 〈Wald〉,machtig-1,428-avas
Hungarian-835-herstellen-1,660,Hungarian,835-herstellen,alkot,alkot,ɒ l k o t,,uesz,,,^ a l k o t $,default,herstellen; an- od zusammenpassen; Erzeuger; Verfassung,herstellen-1,198-alkot
Hungarian-835-herstellen-2,661,Hungarian,835-herstellen,állítmány,állítmány,aː lː iː t m aː ɲ,,uesz,,,^ á ll í t m á ny $,default,Herstellen; Behauptung; Lehrsatz; Prädikat,Herstellen-1,213-allitmany
Hungarian-901-versprechen-1,662,Hungarian,901-versprechen,ajánl,ajánl,ɒ j aː n l,,uesz,,,^ a j á n l $,default,anbieten; anvertrauen; opfern; opfern; versprechen; versprechen; áldozat; áldozat; Angelobung; Angelobung; Angebot; Angebot; Empfehler; Empfehler; Einschreibebrief; Einschreibebrief; empfehlen,versprechen-1,122-ajanl
Hungarian-901-versprechen-2,663,Hungarian,901-versprechen,ajánl,ajánl,ɒ j aː n l,,uesz,,,^ a j á n l $,default,anbieten; anvertrauen; opfern; opfern; versprechen; versprechen; áldozat; áldozat; Angelobung; Angelobung; Angebot; Angebot; Empfehler; Empfehler; Einschreibebrief; Einschreibebrief; empfehlen,versprechen-2,122-ajanl
Hungarian-223-grund-1,674,Hungarian,223-grund,al,al,ɒ l,,uesz,,,^ a l $,default,Streu; unterer; Tiefland; unter etw befindliches Gebiet; unter etw befindliche Sache; Unterteil; Rest; Grund; Basis,Grund-1,158-al
Hungarian-223-grund-2,675,Hungarian,223-grund,alap,alap,ɒ l ɒ p,,uesz,,,^ a l a p $,default,Grund; Fundament,Grund-2,171-alap
Hungarian-380-ring-1,688,Hungarian,380-ring,abroncs,abroncs,ɒ b r o n t͡ʃ,,uesz,,,^ a b r o n cs $,default,reif; Kreis; Ring; Reifen am Saume des Frauenkleides,Ring-1,19-abroncs
Hungarian-517-reif-1,691,Hungarian,517-reif,abroncs,abroncs,ɒ b r o n t͡ʃ,,uesz,,,^ a b r o n cs $,default,reif; Kreis; Ring; Reifen am Saume des Frauenkleides,reif-1,19-abroncs
Hungarian-1012-verkaufen-1,720,Hungarian,1012-verkaufen,ad,ad,ɒ d,,uesz,,,^ a d $,default,zukommen lassen; schenken; geben; liefern; lassen; verkaufen; veröffentlichen; Geben; Beleg; Angabe; Gesetzgeber; Herausgeber; 〈als Teil eines Schimpfw〉; Tradition; Beitrag,verkaufen-1,36-ad
Hungarian-1012-verkaufen-2,721,Hungarian,1012-verkaufen,áru,áru,aː r u,,uesz,,,^ á r u $,default,verkaufen; Ware; Verhandeln; Verrat; elárusít; Verkäufer; Verkäufer; Verkäufer; Verräter; Verräter; Verräter,verkaufen-2,361-aru
Hungarian-561-schlimm-1,728,Hungarian,561-schlimm,árgyélus ×,árgyélus,aː r ɟ eː l u ʃ,,uesz,,,^ á r gy é l u s $,default,närrisch; 〈mildes Fluchw〉; herumirrend; böse; schlimm; potztausend!,schlimm-1,335-argyelus
Hungarian-72-schatten-1,730,Hungarian,72-schatten,árnyék,árnyék,aː r ɲ eː k,,uesz,,,^ á r ny é k $,default,Schuppen; Schatten; Laubhütte; Abbild; schattige Noreite; Spargel; Schutz; Abort; beschattet werden,Schatten-1,349-arnyek
Hungarian-484-kurz-1,743,Hungarian,484-kurz,által,által,aː l t ɒ l,,uesz,,,^ á l t a l $,default,absolut; über; durch; durch; gerade; kurz; von; vermittelst; allgemein; das absolute Ding,kurz-1,235-altal
Hungarian-730-schreien-1,745,Hungarian,730-schreien,abajgat,abajgat,ɒ b ɒ j ɡ ɒ t,,uesz,,,^ a b a j g a t $,default,beunruhigen; belästigen; hetzen; jagen; schreien; prügeln,schreien-1,5-abajgat
Hungarian-730-schreien-2,746,Hungarian,730-schreien,abajog ×,abajog,ɒ b ɒ j o ɡ,,uesz,,,^ a b a j o g $,default,schreien; plaudern; klagen,schreien-2,6-abajog
Hungarian-922-singen-1,756,Hungarian,922-singen,ária,ária,aː r i ɒ,,uesz,,,^ á r i a $,default,Musikstück; Arie; Melodie; singen; rumoren,singen-1,336-aria
Hungarian-741-schlafen-1,770,Hungarian,741-schlafen,alszik,alszik,ɒ l s i k,,uesz,,,^ a l sz i k $,default,schlafen; ist gestorben; erlöschen; gerinnen; einschläfern; unauslöschlich,schlafen-1,233-alszik
Hungarian-54-schlaf-1,771,Hungarian,54-schlaf,álom,álom,aː l o m,,uesz,,,^ á l o m $,default,Traum; Schlaf; Einschlafen,Schlaf-1,227-alom
Hungarian-482-klein-1,775,Hungarian,482-klein,alacsony,alacsony,ɒ l ɒ t͡ʃ o ɲ,,uesz,,,^ a l a cs o ny $,default,niedgrig; klein; untergeordnet; niederträchtig; niedergedrückt werden; niederträchtig werden,klein-1,163-alacsony
Hungarian-482-klein-2,776,Hungarian,482-klein,apró,apró,ɒ p r oː,,uesz,,,^ a p r ó $,default,-klein; winzig; gering; schmal; Kind; Kind; Pocken; Häufel; Kleingeld; Kleinigkeit; Kleinigkeit; Schlachtabfälle,klein-2,307-apro
Hungarian-482-klein-3,777,Hungarian,482-klein,apród,apród,ɒ p r oː d,,uesz,,,^ a p r ó d $,default,klein; Kind; Lehrling; Schildknappe; Page; Kurmacher; kleinweise,klein-3,309-aprod
Hungarian-324-spaten-1,796,Hungarian,324-spaten,ás,ás,aː ʃ,,uesz,,,^ á s $,default,Grube; graben; Gräber; Spaten; Ausgegrabenes,Spaten-1,368-as
Hungarian-232-rede-1,799,Hungarian,232-rede,akció,akció,ɒ k t͡s i oː,,uesz,,,^ a k c i ó $,default,Klage; Klageschrift; Angelegenheit; Rede; Rolle; Behandlung; Handlung; Tätigkeit; Wirkung; Geltrafe; Aktion als grammatischer Terminus,Rede-1,136-akcio
Hungarian-677-stehen-1,809,Hungarian,677-stehen,áll¹,áll,aː lː,,uesz,,,^ á ll $,default,behaupten; behaupten; stehen; sich in einer Lage befinden; stillstehen; emporragen; sich erheben; bestehen; existieren; gelten 〈Wort usw.〉; aushalten; ertragen; in eine Lage; in einen Zustand kommen; abhängen; sich zusammensetzen; sich offenbaren; fortdauern; erhalten bleiben; wert sein; kosten; stellen; stellen; Stelle; Position; Dienststelle,stehen-1,202-all
Hungarian-754-sicherheben-1,810,Hungarian,754-sicherheben,áll¹,áll,aː lː,,uesz,,,^ á ll $,default,behaupten; behaupten; stehen; sich in einer Lage befinden; stillstehen; emporragen; sich erheben; bestehen; existieren; gelten 〈Wort usw.〉; aushalten; ertragen; in eine Lage; in einen Zustand kommen; abhängen; sich zusammensetzen; sich offenbaren; fortdauern; erhalten bleiben; wert sein; kosten; stellen; stellen; Stelle; Position; Dienststelle,sicherheben-1,202-all
Hungarian-431-staat-1,812,Hungarian,431-staat,állam,állam,aː lː ɒ m,,uesz,,,^ á ll a m $,default,Substanz; Haltbarkeit; Staat; substantiell; staatlich,Staat-1,205-allam
Hungarian-964-umruhren-1,819,Hungarian,964-umruhren,agitál,agitál,ɒ ɡ i t aː l,,uesz,,,^ a g i t á l $,default,unterhandeln; unterhandeln; Tätigkeit entfalten; Tätigkeit entfalten; umrühren; umrühren; gewinnen; gewinnen; aufmuntern; aufmuntern; aufwiegeln; aufwiegeln,umruhren-1,103-agital
Hungarian-964-umruhren-2,820,Hungarian,964-umruhren,agitál,agitál,ɒ ɡ i t aː l,,uesz,,,^ a g i t á l $,default,unterhandeln; unterhandeln; Tätigkeit entfalten; Tätigkeit entfalten; umrühren; umrühren; gewinnen; gewinnen; aufmuntern; aufmuntern; aufwiegeln; aufwiegeln,umruhren-2,103-agital
Hungarian-64-stein-1,822,Hungarian,64-stein,asztag,asztag,ɒ s t ɒ ɡ,,uesz,,,^ a sz t a g $,default,Heuschober; Feimen; Stein-; Holzhaufen; Scheune,Stein-1,390-asztag
Hungarian-691-stromen-1,826,Hungarian,691-stromen,ár¹  ∆,ár,aː r,,uesz,,,^ á r $,default,strömen; schwellen,stromen-1,311-ar
Hungarian-691-stromen-2,827,Hungarian,691-stromen,áramlik,áramlik,aː r ɒ m l i k,,uesz,,,^ á r a m l i k $,default,strömen,stromen-2,316-aramlik
Hungarian-934-schlagen-1,829,Hungarian,934-schlagen,akaszt,akaszt,ɒ k ɒ s t,,uesz,,,^ a k a sz t $,default,hängen; hängen; schlagen; Haken; Haken; binden; binden,schlagen-1,100-akaszt
Hungarian-544-dumm-1,834,Hungarian,544-dumm,antal †,antal,ɒ n t ɒ l,,uesz,,,^ a n t a l $,default,dumm; töricht,dumm-1,275-antal
Hungarian-311-tisch-1,853,Hungarian,311-tisch,asztal,asztal,ɒ s t ɒ l,,uesz,,,^ a sz t a l $,default,Tisch; Verpflegung; Kost; viereckige Wune; Brettergerüst an der Dreschmaschine; an der Seite des Kornschobers usw.; Tischler,Tisch-1,391-asztal
Hungarian-805-probieren-1,858,Hungarian,805-probieren,áll¹,áll,aː lː,,uesz,,,^ á ll $,default,behaupten; behaupten; stehen; sich in einer Lage befinden; stillstehen; emporragen; sich erheben; bestehen; existieren; gelten 〈Wort usw.〉; aushalten; ertragen; in eine Lage; in einen Zustand kommen; abhängen; sich zusammensetzen; sich offenbaren; fortdauern; erhalten bleiben; wert sein; kosten; stellen; stellen; Stelle; Position; Dienststelle,kosten-1,202-all
Hungarian-910-lehren-1,861,Hungarian,910-lehren,abriktol ×,abriktol,ɒ b r i k t o l,,uesz,,,^ a b r i k t o l $,default,prügeln; unterrichten,unterrichten-1,18-abriktol
Hungarian-638-das-1,868,Hungarian,638-das,az¹,az,ɒ z,,uesz,,,^ a z $,default,jener; jener; auf diejenige Weise,jener-1,434-az
Hungarian-638-das-2,869,Hungarian,638-das,az¹,az,ɒ z,,uesz,,,^ a z $,default,jener; jener; auf diejenige Weise,jener-2,434-az
Hungarian-638-das-3,870,Hungarian,638-das,az²,az,ɒ z,,uesz,,,^ a z $,default,der; die; das,das-1,435-az
Hungarian-271-sache-1,878,Hungarian,271-sache,állat,állat,aː lː ɒ t,,uesz,,,^ á ll a t $,default,Gestalt; Gerät; Wesen; Zustand; Lebewesen; Sache; Tier; Vierfüßer; nagy termetű,Sache-1,210-allat
Hungarian-993-denken-1,879,Hungarian,993-denken,alít ×,alít,ɒ l iː t,,uesz,,,^ a l í t $,default,meinen; denken; sich getrauen zu glauben; hoffen; bekräftigen; behaupten; einer Sache Beachtung schenken; in Betracht ziehen,denken-1,192-alit
Hungarian-633-durch-1,890,Hungarian,633-durch,által,által,aː l t ɒ l,,uesz,,,^ á l t a l $,default,absolut; über; durch; durch; gerade; kurz; von; vermittelst; allgemein; das absolute Ding,durch-1,235-altal
Hungarian-633-durch-2,891,Hungarian,633-durch,által,által,aː l t ɒ l,,uesz,,,^ á l t a l $,default,absolut; über; durch; durch; gerade; kurz; von; vermittelst; allgemein; das absolute Ding,durch-2,235-altal
Hungarian-857-binden-1,896,Hungarian,857-binden,akaszt,akaszt,ɒ k ɒ s t,,uesz,,,^ a k a sz t $,default,hängen; hängen; schlagen; Haken; Haken; binden; binden,binden-1,134-akaszt
Hungarian-857-binden-2,897,Hungarian,857-binden,akaszt,akaszt,ɒ k ɒ s t,,uesz,,,^ a k a sz t $,default,hängen; hängen; schlagen; Haken; Haken; binden; binden,binden-2,134-akaszt
Hungarian-240-ton-1,906,Hungarian,240-ton,agyag,agyag,ɒ ɟ ɒ ɡ,,uesz,,,^ a gy a g $,default,Ton; Ton; Lehm,Ton-1,111-agyag
Hungarian-240-ton-2,907,Hungarian,240-ton,agyag,agyag,ɒ ɟ ɒ ɡ,,uesz,,,^ a gy a g $,default,Ton; Ton; Lehm,Ton-2,111-agyag
Hungarian-180-falle-1,914,Hungarian,180-falle,árkány ×,árkány,aː r k aː ɲ,,uesz,,,^ á r k á ny $,default,Fangschlinge; Falle,Falle-1,341-arkany
Hungarian-293-gang-1,947,Hungarian,293-gang,allűr,allűr,ɒ lː yː r,,uesz,,,^ a ll ű r $,default,Gang; Haltung; Manier,Gang-1,218-allur
Hungarian-814-wollen-1,949,Hungarian,814-wollen,akar,akar,ɒ k ɒ r,,uesz,,,^ a k a r $,default,wollen; wollen; freiwillig; freiwillig; gewaltsam; gewaltsam; erőszakos,wollen-1,132-akar
Hungarian-814-wollen-2,950,Hungarian,814-wollen,akar,akar,ɒ k ɒ r,,uesz,,,^ a k a r $,default,wollen; wollen; freiwillig; freiwillig; gewaltsam; gewaltsam; erőszakos,wollen-2,132-akar
Hungarian-426-ware-1,952,Hungarian,426-ware,áru,áru,aː r u,,uesz,,,^ á r u $,default,verkaufen; Ware; Verhandeln; Verrat; elárusít; Verkäufer; Verkäufer; Verkäufer; Verräter; Verräter; Verräter,Ware-1,361-aru
Hungarian-61-wind-1,980,Hungarian,61-wind,ájer ×,ájer,aː j ɛ r,,uesz,,,^ á j e r $,default,Luft; Luft; Atmosphäre; Atmosphäre; heilkräftige Flüssigkeit; heilkräftige Flüssigkeit; Wind; Wind; Gestank; Gestank,Wind-1,123-ajer
Hungarian-61-wind-2,981,Hungarian,61-wind,ájer ×,ájer,aː j ɛ r,,uesz,,,^ á j e r $,default,Luft; Luft; Atmosphäre; Atmosphäre; heilkräftige Flüssigkeit; heilkräftige Flüssigkeit; Wind; Wind; Gestank; Gestank,Wind-2,123-ajer
Hungarian-317-fenster-1,982,Hungarian,317-fenster,ablak,ablak,ɒ b l ɒ k,,uesz,,,^ a b l a k $,default,Fenster; Rauchloch,Fenster-1,12-ablak
Hungarian-317-fenster-2,983,Hungarian,317-fenster,akna,akna,ɒ k n ɒ,,uesz,,,^ a k n a $,default,Fenster; Öffnung; Salzgrube; Spundloch; Spund; Schacht; Bergwerk; Kamin; Pulvergang; Sprenggrube; Faßdaube mit Spundloch; Visierstab; Seemine; Tretmine; Geschoß des Minenwerfers; Grubensteiger; Mineur 〈Soldat〉,Fenster-2,142-akna
Hungarian-194-frau-1,988,Hungarian,194-frau,asszony,asszony,ɒ sː o ɲ,,uesz,,,^ a ssz o ny $,default,Königin; Herrin; Frau; verheiratete Frau; Fräulein; weibliches Geschlecht; Fraulichkeit,Frau-1,389-asszony
Hungarian-164-wurm-1,996,Hungarian,164-wurm,alkörmös ∆,alkörmös,ɒ l k ø r m ø ʃ,,uesz,,,^ a l k ö r m ö s $,default,Art Artznei; Kermesbeere; Kermesbeere; Farbstoff aus dieser Pflanze; Art süßer Branntwein; roter Farbstoff; Getränk; Artznei usw; Art roter Artznei; Purpurlaus; Wurm; süßer; roter Branntwein,Wurm-1,200-alkormos
